STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
собира,assemble,собирать,0.542,0.570,0.750
собра,assembled,собранный,0.663,0.450,0.644
сборк,assembly,сборка,0.698,0.500,0.640
член местного законодательного `орга,assemblyman,член местного законодательного `органа,0.430,0.538,0.760
соизволен,assent,соизволение,0.615,0.515,0.719
утвержд,asserting,утверждая,0.694,0.531,0.736
асессор,assessor,асессор,0.551,0.538,0.764
актив,assets,активы,0.667,0.613,0.765
мудак,asshole,Мудак,0.133,0.582,0.263
правопреемник,assignee,правопреемник,0.510,0.462,0.510
усваива,assimilate,усваивать,0.559,0.391,0.683
усвоен,assimilation,усвоение,0.429,0.378,0.463
ассоциирова,associate,ассоциировать,0.812,0.409,0.625
ассоциац,association,ассоциация,0.745,0.500,0.817
сортирова,assorted,сортированный,0.602,0.460,0.472
ассортимент,assortment,ассортимент,0.694,0.360,0.526
предполага,assume,предполагать,0.698,0.401,0.464
при услов,assuming,при условии,0.740,0.390,0.526
предположен,assumption,предположение,0.479,0.431,0.417
гарант,assurance,гарантия,0.675,0.442,0.704
уверя,assure,уверять,0.910,0.460,0.839
уверен,assured,уверенный,0.878,0.327,0.754
конечн,assuredly,конечно,0.786,0.396,0.833
звездочк,asterisk,звездочка,0.541,0.288,0.273
астероид,asteroid,астероид,0.430,0.721,0.623
астм,asthma,астма,0.198,0.549,0.227
астматическ,asthmatic,астматический,0.229,0.706,0.294
астигматизм,astigmatism,астигматизм,0.214,0.490,0.429
изумля,astonish,изумлять,0.786,0.845,0.658
удивлен,astonishment,удивление,0.680,0.718,0.519
астральн,astral,астральный,0.604,0.417,0.567
заблуд,astray,заблудившись,0.098,0.676,0.308
вяжущее средств,astringent,вяжущее средство,0.316,0.500,0.474
астролог,astrologer,астролог,0.594,0.519,0.673
космонавт,astronaut,космонавт,0.792,0.601,0.761
астрон,astronomer,астроном,0.750,0.509,0.735
астрономическ,astronomical,астрономический,0.600,0.632,0.726
астроном,astronomy,астрономия,0.613,0.474,0.722
проницательн,astute,проницательный,0.776,0.658,0.827
на част,asunder,на части,0.208,0.442,0.259
убежищ,asylum,убежище,0.407,0.330,0.445
асимметричн,asymmetric,асимметричный,0.580,0.343,0.465
асимметр,asymmetry,асимметрия,0.476,0.373,0.527
асимптотическ,asymptotic,асимптотический,0.479,0.451,0.472
ател,atelier,ателье,0.490,0.330,0.705
атеизм,atheism,атеизм,0.276,0.460,0.481
атеист,atheist,атеист,0.225,0.447,0.377
атеистическ,atheistic,атеистический,0.373,0.481,0.466
атеросклероз,atherosclerosis,атеросклероз,0.250,0.480,0.343
спортсм,athlete,спортсмен,0.781,0.718,0.686
спортивн,athletic,Спортивное,0.857,0.798,0.708
атлетизм,athleticism,атлетизм,0.750,0.863,0.778
легкая атлетик,athletics,легкая атлетика,0.831,0.691,0.740
атлас,atlas,атлас,0.531,0.306,0.554
атмосферн,atmospheric,атмосферный,0.531,0.420,0.594
атолл,atoll,атолл,0.480,0.408,0.472
ат,atom,атом,0.510,0.500,0.433
атомн,atomic,атомное,0.327,0.817,0.713
искупа,atone,искупать,0.418,0.673,0.411
расплат,atonement,расплата,0.550,0.602,0.683
в мир,atpeace,в мире,0.724,0.298,0.519
атриум,atrium,Атриум,0.469,0.365,0.473
зверств,atrocity,зверство,0.115,0.844,0.593
атроф,atrophy,атрофия,0.177,0.540,0.208
прикрепля,attach,прикреплять,0.520,0.363,0.559
прикреплен,attachment,прикрепление,0.570,0.343,0.500
атак,attack,атака,0.286,0.948,0.670
достижим,attainable,достижимый,0.760,0.500,0.759
попытк,attempt,попытка,0.625,0.491,0.431
посеща,attend,посещать,0.650,0.420,0.625
посещаем,attendance,посещаемость,0.812,0.500,0.592
служител,attendant,служитель,0.580,0.365,0.519
вниман,attention,внимание,0.740,0.599,0.774
внимательн,attentive,внимательный,0.812,0.520,0.724
ослабля,attenuated,ослабляется,0.449,0.280,0.298
затухан,attenuation,затухание,0.458,0.363,0.464
удостоверя,attest,удостоверять,0.439,0.710,0.685
засвидетельствован,attestation,засвидетельствование,0.234,0.635,0.500
чердак,attic,чердак,0.521,0.259,0.377
наряд,attire,наряд,0.742,0.388,0.483
отношен,attitude,отношение,0.760,0.644,0.861
привлека,attract,привлекать,0.796,0.663,0.769
привлечен,attraction,Привлечение,0.906,0.774,0.712
привлекательн,attractive,привлекательный,0.906,0.630,0.769
приходя,attributable,приходящаяся,0.704,0.430,0.527
атрибут,attribute,атрибут,0.781,0.439,0.795
приписыван,attribution,приписывание,0.646,0.467,0.658
потерт,attrition,потертость,0.229,0.540,0.259
рыжеват,auburn,рыжеватый,0.510,0.240,0.411
аукцион,auction,аукцион,0.594,0.702,0.519
аукционист,auctioneer,аукционист,0.542,0.732,0.716
дерзновен,audacious,дерзновенный,0.740,0.875,0.825
дерзост,audacity,дерзость,0.760,0.755,0.916
слышим,audible,слышимый,0.673,0.370,0.462
аудитор,audience,аудитория,0.698,0.610,0.613
ауд,audio,аудио,0.709,0.425,0.370
прослушиван,audition,прослушивание,0.750,0.685,0.615
актовый за,auditorium,актовый зал,0.529,0.490,0.538
слухов,auditory,слуховой,0.531,0.481,0.570
нечт,aught,нечто,0.418,0.135,0.217
увеличива,augment,увеличивать,0.650,0.683,0.645
увеличен,augmentation,увеличение,0.714,0.613,0.850
август,august,августейший,0.652,0.292,0.462
тетк,aunt,тетка,0.667,0.291,0.420
тетушк,auntie,тетушка,0.643,0.275,0.447
аур,aura,аура,0.760,0.333,0.500
северное сиян,aurora,северное сияние,0.817,0.306,0.537
покровительств,auspices,покровительство,0.542,0.500,0.634
благоприятн,auspicious,благоприятный,0.562,0.635,0.669
строгост,austerity,строгость,0.438,0.406,0.534
аутентичн,authentic,аутентичный,0.885,0.510,0.782
проверять подлин,authenticate,проверять подлинность,0.833,0.480,0.789
аутентификац,authentication,аутентификация,0.724,0.491,0.750
подлин,authenticity,подлинность,0.670,0.548,0.845
автор,author,автор,0.775,0.343,0.749
авторитетн,authoritative,авторитетный,0.636,0.520,0.890
власт,authority,власть,0.592,0.592,0.934
авторизац,authorization,авторизация,0.521,0.567,0.817
санкционирова,authorize,санкционировать,0.772,0.596,0.821
уполномочен,authorized,уполномоченный,0.760,0.458,0.815
авторств,authorship,авторство,0.667,0.635,0.773
аутизм,autism,аутизм,0.235,0.500,0.447
аутистическ,autistic,аутистический,0.367,0.337,0.404
авт,auto,авто,0.571,0.569,0.500
автобиографическ,autobiographical,автобиографический,0.909,0.462,0.582
автобиограф,autobiography,автобиография,0.735,0.284,0.629
автозам,autocorrect,автозамена,0.551,0.439,0.616
самодержавн,autocratic,самодержавный,0.542,0.577,0.727
автограф,autograph,автограф,0.735,0.565,0.473
автоматизирова,automated,автоматизированный,0.578,0.402,0.632
автоматическ,automatic,автоматический,0.562,0.433,0.664
автомобил,automobile,автомобиль,0.753,0.625,0.534
автомобильн,automotive,автомобильный,0.656,0.520,0.577
автоном,autonomy,автономия,0.781,0.349,0.891
автопилот,autopilot,автопилот,0.594,0.462,0.632
вскрытие труп,autopsy,вскрытие трупа,0.252,0.650,0.538
осен,autumn,осень,0.765,0.204,0.450
вспомогательн,auxiliary,вспомогательный,0.622,0.471,0.509
польз,avail,польза,0.800,0.430,0.603
лавин,avalanche,лавина,0.265,0.915,0.683
алчност,avarice,алчность,0.198,0.726,0.352
аватар,avatar,аватар,0.633,0.410,0.567
мстит,avenge,мстить,0.073,0.867,0.559
мстител,avenger,мститель,0.337,0.865,0.670
мстительн,avenging,мстительный,0.143,0.880,0.717
проспект,avenue,проспект,0.677,0.360,0.377
в средн,average,в среднем,0.684,0.280,0.455
проч,averse,прочь,0.253,0.569,0.492
averseness,averseness,averseness,0.296,0.606,0.528
предотвраща,avert,предотвращать,0.510,0.388,0.465
вольер,aviary,вольер,0.500,0.360,0.467
авиац,aviation,авиация,0.708,0.646,0.741
алчн,avid,алчный,0.582,0.459,0.593
авокад,avocado,авокадо,0.677,0.255,0.287
избежа,avoid,избежать,0.427,0.442,0.415
уклонен,avoidance,уклонение,0.470,0.481,0.466
избег,avoiding,избегая,0.457,0.433,0.309
ждит,await,Ждите,0.448,0.264,0.276
бодрств,awake,бодрствующий,0.667,0.469,0.741
наград,award,награда,0.865,0.745,0.660
знат,aware,знать,0.656,0.340,0.770
осознан,awareness,осознание,0.684,0.422,0.810
благоговен,awed,благоговение,0.364,0.774,0.361
здоров,awesome,здорово,0.980,0.897,0.891
обалден,awesomeness,обалденный,0.917,0.647,0.927
охваченный благоговен,awestruck,охваченный благоговением,0.615,0.767,0.680
ужасн,awful,ужасный,0.061,0.786,0.450
неловк,awkward,неловко,0.296,0.650,0.358
тент,awning,тент,0.500,0.186,0.318
кос,awry,косо,0.156,0.540,0.275
топор,axe,топор,0.296,0.690,0.536
осев,axial,осевой,0.458,0.278,0.491
аксиом,axiom,аксиома,0.439,0.441,0.583
аксиоматическ,axiomatic,аксиоматический,0.458,0.392,0.627
о,axis,ось,0.209,0.250,0.356
а,ay,ау,0.500,0.557,0.255
да,aye,да,0.562,0.420,0.392
азимут,azimuth,азимут,0.385,0.461,0.421
лазур,azure,лазурь,0.620,0.256,0.339
лепет,babble,лепет,0.552,0.441,0.204
болтовн,babbling,болтовня,0.396,0.418,0.241
младенец,babe,младенец,0.860,0.536,0.424
бабуин,baboon,бабуин,0.357,0.410,0.429
детк,baby,детка,0.837,0.365,0.455
присматривать за ребенк,babysit,присматривать за ребенком,0.719,0.587,0.398
нян,babysitter,няня,0.656,0.415,0.408
степень бакалавр,baccalaureate,степень бакалавра,0.729,0.510,0.480
баккар,baccarat,баккара,0.583,0.497,0.436
бакалавр,bachelor,бакалавр,0.667,0.406,0.600
девичник,bachelorette,девичник,0.735,0.780,0.465
назад,back,назад,0.438,0.353,0.336
спинодержател,backboard,спинодержатель,0.480,0.259,0.436
позвоночник,backbone,позвоночник,0.538,0.464,0.620
задняя двер,backdoor,задняя дверь,0.344,0.410,0.333
фон,backdrop,фон,0.320,0.309,0.444
поручител,backer,поручитель,0.646,0.375,0.537
обратный эффект,backfire,обратный эффект,0.265,0.612,0.491
нард,backgammon,нарды,0.580,0.410,0.390
задний пла,background,задний план,0.399,0.357,0.498
удар слев,backhand,удар слева,0.427,0.449,0.390
экскаватор,backhoe,экскаватор,0.398,0.554,0.562
отва,backoff,отвали,0.104,0.396,0.240
рюкзак,backpack,рюкзак,0.729,0.278,0.333
пеший турист,backpacker,пеший турист,0.510,0.730,0.460
засекречен,backroom,засекреченный,0.406,0.500,0.387
заднее сиден,backseat,заднее сиденье,0.388,0.330,0.237
задняя сторон,backside,задняя сторона,0.182,0.417,0.342
отступа,backtrack,отступаться,0.312,0.525,0.278
резервное копирован,backup,резервное копирование,0.520,0.510,0.553
отстал,backwardness,отсталость,0.240,0.500,0.136
завод,backwater,заводь,0.312,0.410,0.161
глуш,backwoods,глушь,0.541,0.350,0.482
задний двор,backyard,задний двор,0.552,0.280,0.302
бекон,bacon,бекон,0.698,0.406,0.295
бактер,bacteria,бактерии,0.177,0.553,0.570
бактериальн,bacterial,бактериальный,0.156,0.500,0.473
плох,bad,Плохо,0.125,0.625,0.373
задир,badass,задира,0.255,0.775,0.745
значок,badge,значок,0.567,0.488,0.691
барсук,badger,барсук,0.344,0.429,0.357
негодн,badness,негодность,0.094,0.823,0.463
дефлектор,baffle,дефлектор,0.344,0.442,0.482
мешок,bag,мешок,0.500,0.250,0.314
рогалик,bagel,рогалик,0.531,0.363,0.340
багаж,baggage,Багаж,0.610,0.363,0.427
пакетик,baggie,пакетик,0.367,0.427,0.366
мешковат,baggy,мешковатый,0.521,0.278,0.452
странствующий торговец,bagman,странствующий торговец,0.506,0.500,0.394
волынк,bagpipes,волынка,0.541,0.556,0.412
порук,bail,порука,0.373,0.520,0.561
судебный приста,bailiff,судебный пристав,0.347,0.519,0.759
приманк,bait,приманка,0.276,0.327,0.296
выпека,bake,выпекать,0.867,0.418,0.519
пекарн,bakery,пекарня,0.802,0.500,0.380
выпечк,baking,выпечка,0.549,0.455,0.451
баланс,balance,баланс,0.684,0.265,0.735
сбалансирова,balanced,сбалансированный,0.806,0.255,0.745
балкон,balcony,балкон,0.562,0.392,0.380
плешив,bald,плешивый,0.306,0.184,0.268
лысеющ,balding,лысеющий,0.302,0.363,0.368
лыс,baldy,Лысый,0.398,0.385,0.396
тюк,bale,тюк,0.437,0.363,0.412
брус,balk,брус,0.229,0.451,0.415
мяч,ball,мяч,0.740,0.427,0.317
баллад,ballad,баллада,0.792,0.284,0.424
балласт,ballast,балласт,0.354,0.423,0.287
балерин,ballerina,балерина,0.802,0.660,0.475
балет,ballet,балет,0.656,0.480,0.358
игра в мяч,ballgame,игра в мяч,0.781,0.790,0.407
баллистическ,ballistic,баллистический,0.260,0.806,0.685
баллистик,ballistics,баллистика,0.271,0.787,0.610
воздушный шар,balloon,воздушный шар,0.729,0.245,0.315
голосован,ballot,голосование,0.521,0.361,0.358
стадион,ballpark,стадион,0.724,0.694,0.529
бейсболист,ballplayer,бейсболист,0.719,0.764,0.566
шариковая ручк,ballpoint,шариковая ручка,0.596,0.337,0.318
бальн,ballroom,бальный,0.847,0.635,0.448
напорист,ballsy,напористая,0.531,0.491,0.414
бальз,balm,бальзам,0.625,0.275,0.414
бальзамическ,balmy,бальзамический,0.684,0.327,0.545
бам,bam,бам,0.427,0.472,0.390
бамбук,bamboo,бамбук,0.646,0.222,0.356
бана,banana,банан,0.612,0.230,0.241
групп,band,группа,0.648,0.552,0.525
повязк,bandage,повязка,0.220,0.327,0.286
банд,bandit,бандит,0.094,0.796,0.567
эстрада для оркестр,bandstand,эстрада для оркестра,0.735,0.536,0.520
повальное увлечен,bandwagon,повальное увлечение,0.625,0.651,0.509
пропускная способн,bandwidth,пропускная способность,0.714,0.337,0.548
отрав,bane,отрава,0.265,0.694,0.366
бах,bang,бах,0.265,0.951,0.740
сосиск,banger,сосиска,0.378,0.540,0.538
отгоня,banish,отгонять,0.163,0.677,0.543
изгна,banished,изгнанный,0.052,0.713,0.370
высылк,banishment,высылка,0.160,0.775,0.298
пер,banister,перила,0.418,0.410,0.332
бандж,banjo,банджо,0.469,0.400,0.370
банк,bank,банка,0.562,0.327,0.675
банкир,banker,банкир,0.586,0.588,0.792
банковское дел,banking,банковское дело,0.510,0.327,0.500
денежные средств,bankroll,денежные средства,0.469,0.570,0.509
банкрот,bankrupt,банкрот,0.163,0.673,0.337
банкротств,bankruptcy,банкротство,0.010,0.696,0.209
баннер,banner,баннер,0.521,0.408,0.474
банкет,banquet,банкет,0.765,0.571,0.600
сирена воздушной тревог,banshee,сирена воздушной тревоги,0.408,0.565,0.481
подшучива,banter,подшучивать,0.594,0.677,0.464
крещен,baptism,крещение,0.844,0.384,0.566
крестильн,baptismal,крестильный,0.646,0.343,0.625
крест,baptize,крестить,0.739,0.426,0.594
бар,bar,бар,0.500,0.531,0.481
бородк,barb,бородка,0.448,0.365,0.417
варвар,barbarian,варвар,0.323,0.896,0.713
варварск,barbaric,варварский,0.235,0.798,0.738
варварств,barbarism,варварство,0.190,0.815,0.614
барбек,barbecue,барбекю,0.792,0.643,0.456
колюч,barbed,колючий,0.177,0.594,0.455
цирюльник,barber,цирюльник,0.543,0.459,0.356
парикмахерск,barbershop,парикмахерская,0.597,0.441,0.382
кукла барб,barbie doll,Кукла Барби,0.729,0.370,0.330
бард,bard,бард,0.470,0.410,0.439
гол,bare,голый,0.333,0.717,0.296
неоседла,bareback,неоседланный,0.500,0.356,0.373
босик,barefoot,босиком,0.445,0.373,0.241
едв,barely,едва,0.448,0.183,0.268
блева,barf,блевать,0.340,0.491,0.394
сделк,bargain,сделка,0.653,0.533,0.670
переговор,bargaining,переговоры,0.622,0.640,0.642
барж,barge,баржа,0.469,0.388,0.465
баритон,baritone,баритон,0.592,0.529,0.500
ла,bark,лай,0.360,0.602,0.395
барм,barkeep,бармен,0.480,0.500,0.454
лает,barks,лает,0.427,0.694,0.325
ячмен,barley,ячмень,0.614,0.212,0.296
буфетчиц,barmaid,буфетчица,0.521,0.472,0.440
сара,barn,сарай,0.510,0.452,0.425
кляпц,barnacle,кляпцы,0.408,0.337,0.457
гулянк,barney,гулянка,0.451,0.378,0.440
скотный двор,barnyard,скотный двор,0.510,0.353,0.336
барометр,barometer,барометр,0.388,0.273,0.545
барон,baron,барон,0.520,0.358,0.709
баронесс,baroness,баронесса,0.625,0.453,0.755
барокк,baroque,барокко,0.490,0.357,0.418
барак,barrack,барак,0.378,0.500,0.455
барракуд,barracuda,барракуда,0.333,0.713,0.510
загражден,barrage,заграждение,0.388,0.871,0.627
запрещен,barred,запрещенный,0.143,0.741,0.535
бочк,barrel,бочка,0.429,0.298,0.474
бесплодн,barren,бесплодный,0.173,0.373,0.221
баррикад,barricade,баррикада,0.323,0.667,0.673
барьер,barrier,барьер,0.333,0.480,0.562
за исключен,barring,за исключением,0.292,0.670,0.420
барристер,barrister,барристер,0.469,0.570,0.792
Barroom,barroom,Barroom,0.686,0.619,0.470
курга,barrow,курган,0.479,0.363,0.362
бартер,barter,бартер,0.465,0.559,0.596
баз,base,база,0.635,0.298,0.553
бейсбол,baseball,бейсбол,0.660,0.760,0.563
бейсбольная бит,baseball bat,бейсбольная бита,0.667,0.567,0.509
плинтус,baseboard,плинтус,0.396,0.198,0.405
необоснова,baseless,необоснованный,0.292,0.382,0.375
базовая лин,baseline,базовая линия,0.483,0.367,0.509
низ,baseman,низов,0.604,0.449,0.462
подва,basement,подвал,0.388,0.500,0.268
основ,bases,основы,0.569,0.236,0.591
удар,bash,удар,0.385,0.546,0.463
робк,bashful,робкий,0.400,0.406,0.217
основн,basic,основной,0.643,0.102,0.395
бэз,basil,Бэзил,0.534,0.274,0.309
базилик,basilica,базилика,0.612,0.302,0.639
бассейн,basin,бассейн,0.552,0.231,0.398
грет,bask,греться,0.760,0.330,0.381
корзин,basket,корзина,0.458,0.227,0.336
баскетбол,basketball,баскетбол,0.814,0.764,0.435
бас,bass,бас,0.427,0.206,0.268
бас-гитар,bass guitar,бас-гитара,0.738,0.370,0.294
фагот,bassoon,фагот,0.500,0.433,0.310
ублюдок,bastard,Ублюдок,0.094,0.692,0.289
bastarding,bastarding,bastarding,0.104,0.608,0.269
ублюдк,bastards,ублюдки,0.082,0.680,0.422
бастион,bastion,бастион,0.531,0.500,0.596
летучая мыш,bat,летучая мышь,0.324,0.409,0.480
парт,batch,партия,0.560,0.357,0.357
дозир,batching,дозирующий,0.484,0.420,0.518
ван,bath,ванна,0.725,0.260,0.263
купа,bathe,купать,0.677,0.294,0.371
бан,bathhouse,баня,0.602,0.380,0.459
купан,bathing,купание,0.740,0.276,0.361
банный халат,bathrobe,банный халат,0.531,0.442,0.394
батиметр,bathymetry,батиметрия,0.432,0.480,0.509
дубинк,baton,дубинка,0.272,0.235,0.519
батальон,battalion,батальон,0.333,0.818,0.795
долб,batter,долбить,0.561,0.245,0.373
разбит,battered,разбитый,0.080,0.790,0.306
долблен,battering,долбление,0.210,0.798,0.490
аккумулятор,battery,аккумулятор,0.480,0.425,0.442
боев,battle,боевой,0.365,0.945,0.868
борол,battled,боролись,0.292,0.794,0.575
поле битв,battlefield,поле битвы,0.133,0.918,0.781
бойниц,battlements,бойницами,0.276,0.441,0.530
линкор,battleship,линкор,0.479,0.750,0.726
тронут,batty,тронутый,0.375,0.619,0.274
безделушк,bauble,безделушка,0.698,0.429,0.255
похабн,bawdy,похабный,0.184,0.823,0.508
ора,bawl,орать,0.385,0.880,0.561
зал,bay,залив,0.719,0.365,0.569
штыков,bayonet,штыковой,0.263,0.775,0.561
стариц,bayou,старица,0.469,0.431,0.324
восточный базар,bazaar,восточный базар,0.604,0.340,0.500
базук,bazooka,базука,0.302,0.824,0.634
Bday,bday,Bday,0.729,0.600,0.415
быт,be,быть,0.670,0.240,0.554
пляж,beach,пляж,0.885,0.529,0.455
маяк,beacon,маяк,0.580,0.407,0.537
шарик,bead,шарик,0.592,0.388,0.381
развальцовк,beading,развальцовка,0.542,0.320,0.398
бисер,beads,бисер,0.673,0.388,0.552
покрытый капельк,beady,покрытый капельками,0.448,0.417,0.443
гонч,beagle,гончая,0.649,0.470,0.395
клюв,beak,клюв,0.375,0.363,0.411
мерный стака,beaker,мерный стакан,0.420,0.410,0.391
луч,beam,луч,0.584,0.349,0.382
лучезарн,beaming,лучезарный,0.892,0.654,0.587
боб,bean,боб,0.667,0.269,0.264
погремушк,beanbag,погремушка,0.450,0.380,0.340
шапочк,beanie,шапочка,0.500,0.230,0.263
медвед,bear,медведь,0.448,0.570,0.475
терпим,bearable,терпимый,0.542,0.375,0.605
бород,beard,борода,0.490,0.261,0.371
бородат,bearded,бородатый,0.439,0.337,0.391
подател,bearer,податель,0.571,0.547,0.676
подшипник,bearing,подшипник,0.571,0.367,0.474
медвеж,bearish,медвежий,0.521,0.549,0.324
медвежья шкур,bearskin,медвежья шкура,0.333,0.398,0.464
звер,beast,зверь,0.214,0.780,0.732
зверск,beastly,зверский,0.146,0.874,0.843
бит,beat,бить,0.279,0.647,0.492
избит,beaten,избитый,0.083,0.846,0.265
бил,beater,било,0.438,0.545,0.482
битник,beatnik,битник,0.429,0.510,0.382
кавалер,beau,кавалер,0.612,0.440,0.432
благоустройств,beautification,благоустройство,0.885,0.575,0.725
красив,beautiful,красивая,0.875,0.614,0.648
красот,beauty,красота,0.842,0.600,0.644
бобр,beaver,бобр,0.490,0.344,0.393
бибоп,bebop,бибоп,0.482,0.490,0.358
ман,beck,манить,0.580,0.375,0.418
стал,become,стали,0.641,0.583,0.643
постел,bed,постель,0.604,0.173,0.327
постельные принадлежн,bedding,постельные принадлежности,0.704,0.276,0.377
подкладное судн,bedpan,подкладное судно,0.510,0.400,0.362
коренная пород,bedrock,коренная порода,0.561,0.340,0.598
спальн,bedroom,Спальня,0.744,0.296,0.491
прикроватн,bedside,прикроватный,0.604,0.167,0.375
постельное покрыва,bedspread,постельное покрывало,0.551,0.139,0.292
время отхода ко сн,bedtime,время отхода ко сну,0.673,0.314,0.373
пчел,bee,пчела,0.520,0.509,0.309
говядин,beef,говядина,0.582,0.312,0.492
стейк из говядин,beefsteak,стейк из говядины,0.594,0.391,0.455
ул,beehive,улей,0.541,0.700,0.422
гудок,beep,гудок,0.595,0.541,0.304
бипер,beeper,бипер,0.438,0.720,0.441
пив,beer,пиво,0.592,0.654,0.500
пчелиный воск,beeswax,пчелиный воск,0.583,0.402,0.375
жук,beetle,жук,0.323,0.356,0.295
случа,befall,случаться,0.520,0.663,0.585
помога,befriend,помогать,0.930,0.624,0.471
озадачен,befuddled,озадаченный,0.156,0.714,0.269
очень прош,beg,очень прошу,0.292,0.608,0.328
нищ,beggar,нищий,0.240,0.402,0.116
нищенств,begging,нищенство,0.292,0.461,0.202
нача,begin,начать,0.677,0.569,0.763
начина,beginner,начинающий,0.490,0.480,0.387
исток,beginnings,истоки,0.837,0.527,0.600
завидова,begrudge,завидовать,0.177,0.731,0.377
начат,begun,начатый,0.677,0.500,0.404
вести себ,behave,вести себя,0.677,0.363,0.747
поведен,behavior,поведение,0.594,0.442,0.813
поведенческ,behavioral,поведенческий,0.612,0.440,0.708
бегемот,behemoth,бегемот,0.583,0.781,0.853
приказан,behest,приказание,0.602,0.350,0.720
вот,behold,вот,0.610,0.284,0.449
очевидец,beholder,очевидец,0.714,0.491,0.520
бежев,beige,бежевый,0.490,0.222,0.224
запоздал,belated,запоздалый,0.240,0.400,0.214
отстав,belay,отставить,0.500,0.472,0.702
отрыжк,belch,отрыжка,0.194,0.562,0.240
вер,belief,вера,0.896,0.375,0.656
правдоподобн,believable,правдоподобно,0.866,0.390,0.676
счита,believed,Считается,0.500,0.562,0.547
полаг,believing,полагая,0.870,0.418,0.833
умал,belittle,умалить,0.122,0.417,0.250
принижа,belittled,принижается,0.177,0.392,0.226
колокол,bell,колокол,0.552,0.510,0.505
коридорн,bellboy,коридорный,0.542,0.363,0.302
посыльн,bellhop,посыльный,0.500,0.287,0.318
воинствен,belligerent,воинственный,0.344,0.680,0.594
глашата,bellman,глашатай,0.540,0.250,0.371
рев,bellow,рев,0.248,0.337,0.212
сильфон,bellows,сильфон,0.458,0.515,0.429
живот,belly,живот,0.510,0.388,0.387
пупок,bellybutton,пупок,0.531,0.283,0.360
сытост,bellyful,сытость,0.347,0.806,0.519
принадлежа,belong,принадлежать,0.643,0.405,0.569
пожитк,belongings,пожитки,0.592,0.380,0.750
возлюблен,beloved,возлюбленная,0.969,0.613,0.708
ремен,belt,ремень,0.541,0.322,0.445
белуг,beluga,белуга,0.510,0.333,0.482
скамейк,bench,скамейка,0.571,0.289,0.544
изгиб,bend,изгиб,0.571,0.324,0.368
клещ,bender,клещи,0.490,0.510,0.466
под,beneath,под,0.354,0.173,0.233
благословля,benedictory,благословляющий,0.677,0.438,0.481
благодетел,benefactor,благодетель,0.833,0.578,0.755
бенефициар,beneficiary,бенефициар,0.776,0.399,0.616
выгод,benefit,выгода,0.906,0.422,0.806
благожелательн,benevolence,благожелательность,0.786,0.340,0.717
доброкачествен,benign,доброкачественный,0.694,0.440,0.509
изогнут,bent,изогнутый,0.375,0.453,0.298
бензол,benzene,бензол,0.439,0.459,0.403
завеща,bequeath,завещать,0.743,0.500,0.741
наследств,bequest,наследство,0.661,0.398,0.882
скорбя,bereaved,скорбящий,0.104,0.479,0.221
тяжелая утрат,bereavement,тяжелая утрата,0.265,0.677,0.500
лишен,bereft,лишенный,0.229,0.490,0.336
берет,beret,берет,0.542,0.240,0.327
бергамот,bergamot,бергамот,0.510,0.365,0.339
берлин,berlin,Берлин,0.592,0.423,0.571
неистов,berserk,неистовый,0.398,0.556,0.480
спальное мест,berth,спальное место,0.295,0.337,0.596
берилл,beryllium,бериллий,0.417,0.412,0.425
умоля,beseech,умолять,0.330,0.441,0.600
осажда,beset,осаждать,0.385,0.717,0.317
самый лучший ден,bestdayever,самый лучший день,0.760,0.646,0.593
bestfeeling,bestfeeling,bestfeeling,0.806,0.509,0.625
лучшие друз,bestfriends,лучшие друзья,0.934,0.662,0.647
развратн,bestial,развратный,0.260,0.761,0.674
Besties,besties,Besties,0.888,0.509,0.614
дарова,bestow,даровать,0.656,0.560,0.642
бестселлер,bestseller,бестселлер,0.771,0.643,0.700
делать ставк,bet,делать ставку,0.385,0.698,0.432
бет,beta,бета,0.710,0.370,0.439
предава,betray,предавать,0.042,0.870,0.536
предательств,betrayal,предательство,0.083,0.719,0.418
преда,betrayed,предала,0.122,0.769,0.308
обруч,betrothed,обручена,0.833,0.630,0.667
улучшен,betterment,улучшение,0.898,0.536,0.769
бетт,betty,Бетти,0.542,0.358,0.381
скос,bevel,скос,0.757,0.406,0.454
напиток,beverage,напиток,0.635,0.490,0.389
ста,bevy,стая,0.429,0.460,0.541
остерега,beware,остерегаться,0.151,0.596,0.518
смуща,bewilder,смущать,0.306,0.571,0.289
недоумен,bewilderment,недоумение,0.312,0.716,0.216
смещен,bias,смещение,0.400,0.370,0.541
пристрастн,biased,пристрастный,0.271,0.302,0.368
нагрудник,bib,нагрудник,0.385,0.396,0.339
библ,bible,библия,0.719,0.225,0.726
библейск,biblical,библейский,0.635,0.304,0.712
библиограф,bibliography,Библиография,0.622,0.204,0.528
бикарбонат,bicarbonate,бикарбонат,0.479,0.337,0.438
двухсотлет,bicentennial,двухсотлетие,0.541,0.423,0.507
бицепс,biceps,бицепс,0.592,0.588,0.602
пререка,bicker,пререкаться,0.143,0.643,0.552
ссор,bickering,ссора,0.122,0.800,0.536
двухцветн,bicolor,двухцветный,0.580,0.327,0.404
велосипед,bicycle,велосипед,0.708,0.519,0.425
предложен,bid,предложение,0.760,0.530,0.655
претендент,bidder,претендент,0.465,0.474,0.433
торг,bidding,торги,0.586,0.644,0.509
